"CÓD. 
DEP.",DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,"GRUPO 
DE CULTIVO","SUBGRUPO 
DE CULTIVO",CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,AÑO,PERIODO,"Área Sembrada
(ha)","Área Cosechada
(ha)","Producción
(t)","Rendimiento
(t/ha)",ESTADO FISICO PRODUCCION,"NOMBRE 
CIENTIFICO",CICLO DE CULTIVO
20,CESAR,20228,CURUMANI,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,750,750,2250,3,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20550,PELAYA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,600,580,2900,5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20383,LA GLORIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,550,550,2200,4,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20250,EL PASO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,462,462,1386,3,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20011,AGUACHICA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,250,250,875,3.5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20517,PAILITAS,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,250,250,1000,4,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20770,SAN MARTIN,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,170,170,850,5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20295,GAMARRA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,150,150,525,3.5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20400,LA JAGUA DE IBIRICO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2006,2006B,64,64,229,3.58,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20383,LA GLORIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,1700,1700,5660,3.33,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20228,CURUMANI,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,620,620,1730,2.79,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20550,PELAYA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,450,430,2150,5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20770,SAN MARTIN,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,400,400,2000,5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20250,EL PASO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,300,300,900,3,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20011,AGUACHICA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,200,200,700,3.5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20517,PAILITAS,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,200,200,800,4,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20295,GAMARRA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,150,150,525,3.5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20400,LA JAGUA DE IBIRICO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007A,32,32,112,3.5,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20383,LA GLORIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007B,2697,2597,11971,4.61,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20550,PELAYA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007B,540,530,2544,4.8,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20250,EL PASO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007B,300,300,300,1,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20011,AGUACHICA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007B,250,250,825,3.3,GRANO SECO,ZEA MAYS,TRANSITORIO
20,CESAR,20295,GAMARRA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,2007,2007B,250,250,825,3.3,GRANO SECO,ZEA MAYS,TRANSITORIO
