Codigo del departamento,Departamento,Código del Municipio,Municipio,Grupo cultivo según especie,Subgrupo cultivo según especie,Cultivo,Año,Periodo,Area Sembrada (ha),Area Cosechada (ha),Producción (t),Rendimiento (t/ha),Ciclo del cultivo,Estado físico de la producción,Nombre científico
20,Cesar,20011,Aguachica,Cereales,Maíz,Maíz,2019,2019A,1853,1853,7800,4.21,Transitorio,Grano Seco,Zea Mays
20,Cesar,20011,Aguachica,Cereales,Maíz,Maíz,2019,2019B,1690,1690,6950,4.11,Transitorio,Grano Seco,Zea Mays
20,Cesar,20013,Agustín Codazzi,Cereales,Maíz,Maíz,2019,2019A,692,672,1113,1.66,Transitorio,Grano Seco,Zea Mays
20,Cesar,20013,Agustín Codazzi,Cereales,Maíz,Maíz,2019,2019B,732,732,1203,1.64,Transitorio,Grano Seco,Zea Mays
20,Cesar,20032,Astrea,Cereales,Maíz,Maíz,2019,2019B,1000,1000,1400,1.4,Transitorio,Grano Seco,Zea Mays
20,Cesar,20032,Astrea,Cereales,Maíz,Maíz,2019,2019A,600,600,840,1.4,Transitorio,Grano Seco,Zea Mays
20,Cesar,20045,Becerrill,Cereales,Maíz,Maíz,2019,2019A,1400,1400,1680,1.2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20045,Becerrill,Cereales,Maíz,Maíz,2019,2019B,1500,1300,1300,1,Transitorio,Grano Seco,Zea Mays
20,Cesar,20060,Bosconia,Cereales,Maíz,Maíz,2019,2019B,40,35,31.5,0.9,Transitorio,Grano Seco,Zea Mays
20,Cesar,20060,Bosconia,Cereales,Maíz,Maíz,2019,2019A,40,35,45.5,1.3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20175,Chimichagua,Cereales,Maíz,Maíz,2019,2019B,270,250,200,0.8,Transitorio,Grano Seco,Zea Mays
20,Cesar,20175,Chimichagua,Cereales,Maíz,Maíz,2019,2019A,250,220,176,0.8,Transitorio,Grano Seco,Zea Mays
20,Cesar,20178,Chiriguaná,Cereales,Maíz,Maíz,2019,2019A,360,180,144,0.8,Transitorio,Grano Seco,Zea Mays
20,Cesar,20178,Chiriguaná,Cereales,Maíz,Maíz,2019,2019B,420,420,840,2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20228,Curumaní,Cereales,Maíz,Maíz,2019,2019A,220,200,600,3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20228,Curumaní,Cereales,Maíz,Maíz,2019,2019B,250,250,750,3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20238,El Copey,Cereales,Maíz,Maíz,2019,2019A,425,425,850,2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20238,El Copey,Cereales,Maíz,Maíz,2019,2019B,650,650,1300,2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20250,El Paso,Cereales,Maíz,Maíz,2019,2019B,42,38,49.5,1.3,Transitorio,Grano Seco,Zea Mays
20,Cesar,20250,El Paso,Cereales,Maíz,Maíz,2019,2019A,49,47,70.5,1.5,Transitorio,Grano Seco,Zea Mays
20,Cesar,20295,Gamarra,Cereales,Maíz,Maíz,2019,2019A,1000,1000,5370,5.37,Transitorio,Grano Seco,Zea Mays
20,Cesar,20295,Gamarra,Cereales,Maíz,Maíz,2019,2019B,1115,1115,5880,5.27,Transitorio,Grano Seco,Zea Mays
20,Cesar,20310,González,Cereales,Maíz,Maíz,2019,2019A,45,45,88.09,1.96,Transitorio,Grano Seco,Zea Mays
20,Cesar,20310,González,Cereales,Maíz,Maíz,2019,2019B,51,51,99.84,1.96,Transitorio,Grano Seco,Zea Mays
